"SOURCE_ID","Shape_Leng","Shape_Area","S_BALTIMOR","S_BALTIM_1","S_BALTIM_2","S_BALTIM_3","S_REDLININ","S_C_INTRCP","S_SE_INTRC","S_T_INTRCP","S_SG_INTRC","S_C_BALTIM","S_SE_BALTI","S_T_BALTIM","S_SG_BALTI","S_C_BALT_1","S_SE_BAL_1","S_T_BALT_1","S_SG_BAL_1","S_C_BALT_2","S_SE_BAL_2","S_T_BALT_2","S_SG_BAL_2","S_C_REDLIN","S_SE_REDLI","S_T_REDLIN","S_SG_REDLI","S_PREDICT","PREDICTED","C_INTRCPT","C_BALTIMOR","C_BALTIM_1","C_BALTIM_2","C_REDLININ","S_RESIDUAL","S_STDRESID","INFLUENCE","COOKS_D","LOCALR2","CND_NUMBER"
135,0.0575063058223,8.67407692545e-05,-0.728145772785,-0.597596937658,-1.1632953837,-1.2451213147,-0.515993819829,-0.0661414552327,0.0694661057313,-0.952139961444,0,0.309963965772,0.0865286087828,3.58221367629,1,0.297484886046,0.0665955917,4.4670357069,1,0.0150587561869,0.201905147644,0.0745833197552,0,0.211002077741,0.0732294709932,2.88138197476,1,-0.725063513007,2.01926240488,-37.4117210993,0.00147068351307,14.8277683095,0.372098501031,1.25908170229,-0.0030822597786,-0.00416865059538,0.151110870665,1.27762746199e-07,0.435619694667,2.11967976608
136,0.0931464375542,0.000367091159285,-0.728145772785,-0.319722989129,-1.35120977286,0.487462486737,1.39366555075,-0.0233971927222,0.0690822656099,-0.338685949507,0,0.463229197926,0.0886400411321,5.22595874291,1,0.318535584565,0.0640123062803,4.97616166445,1,-0.0858621619269,0.237328092185,-0.361786761678,0,0.163172249754,0.069501553288,2.34774968378,1,-0.416357651051,3.94850190122,180.133497105,0.00219787981634,15.8770144898,-2.12163483834,0.973673795947,-0.311788121735,-0.403698702461,0.07379331969,0.000536280935082,0.440457437546,2.05345791901
138,0.0474250008968,0.000110063944971,0.391954161821,0.854028716951,0.469397184014,0.898293143858,0.438835865462,-0.0350186898243,0.0706551628899,-0.495628180475,0,0.386937788274,0.0913815053932,4.23431181845,1,0.294544188616,0.0655603649205,4.4927173449,1,0.0936678939177,0.256406123789,0.365310674072,0,0.168619184046,0.0715939400719,2.35521587269,1,0.59183287821,10.2491305209,-208.29790182,0.00183590058406,14.6811928624,2.31451273192,1.00617648679,-0.199878716389,-0.273604500787,0.17131378665,0.00063917118406,0.404204622092,1.67476935968
139,0.0267898903925,3.52174324293e-05,0.231939885449,-0.494343230008,0.17602275855,1.18749451766,0.438835865462,-0.0499068624739,0.070151894545,-0.711411470747,0,0.301144995164,0.0907416404165,3.31870785872,1,0.297128113803,0.0649698323284,4.57332431306,1,0.0156659589697,0.284275591263,0.0551083506682,0,0.191855521359,0.0710678936905,2.69960894288,1,-0.0436782177,6.27754054577,-38.2036532444,0.00142884021479,14.8099854358,0.387102346136,1.14483126902,0.275618103149,0.405848216488,0.283870309109,0.00269664691587,0.429569551517,1.59916051439
141,0.0694088801945,0.000252353560259,-0.408117220041,1.29665306666,-0.274533698967,-1.36183354118,-0.515993819829,-0.0481588911529,0.0703636208819,-0.684428836226,0,0.242573348778,0.0876062841509,2.7689035225,1,0.298621686353,0.0663608095786,4.49997051346,1,-0.267380968089,0.145137631238,-1.84225804024,0,0.182926998204,0.072302864258,2.5300103956,1,0.454132039347,9.38857706284,577.122168989,0.00115093579949,14.8844307227,-6.60692398465,1.0915534044,-0.862249259387,-1.14786225791,0.123827552825,0.00769087517782,0.395545792698,2.19524961309
142,0.047725883716,0.000124744082324,9.03272508593,0.672575510125,-0.409251378309,1.47573057969,1.39366555075,-0.0338112373447,0.0696486909096,-0.485454025096,0,0.437815915557,0.0957055486365,4.5746137167,1,0.302205943558,0.0645430770799,4.68223637964,1,1.25165251993,0.188609922746,6.63619655693,1,0.168991483057,0.070238508003,2.40596629771,1,2.21959433359,20.4217319429,-2722.42999823,0.00207730162171,15.0630836153,30.92805413,1.00839805199,6.81313075234,9.47501997917,0.197145837933,0.910499539236,0.421994498947,2.02894610665
143,0.0218561604479,2.76860555947e-05,-0.248102943668,-0.911154152801,-0.338757503844,1.37536832136,1.39366555075,-0.0278528774258,0.069921125868,-0.398347095817,0,0.485439372578,0.0959313686403,5.06027777419,1,0.301574347997,0.0648668179172,4.64913121501,1,0.221221953061,0.176133289245,1.25599172087,0,0.159827004514,0.0707290434262,2.25970827219,1,-0.045316494534,6.2673022291,-486.495413147,0.00230326025178,15.0316025113,5.4663450359,0.953712205442,-0.202786449134,-0.273110644757,0.143940224708,0.000517992954139,0.414500308105,1.87408802733
145,0.0346599374225,7.15009389077e-05,-0.248102943668,-0.507249943464,1.08322457154,1.11416098895,0.438835865462,-0.0485788312484,0.0702454459387,-0.691558443388,0,0.305120786355,0.0921937578722,3.30956014157,1,0.294052629271,0.0650277455,4.52195638969,1,0.0527341419758,0.22150210597,0.238075126847,0,0.189592128456,0.0711228922048,2.66569767593,1,0.257127850027,8.15741073327,-118.641239079,0.00144770411899,14.6566916914,1.30304886664,1.13132525704,-0.505230793695,-0.679870665218,0.142507155579,0.00317268740513,0.424186870943,1.71366452115
146,0.0445461915523,9.73673148217e-05,-0.728145772785,-0.189896636128,-1.36100781424,0.244475414037,1.39366555075,-0.0297031662655,0.0691065137905,-0.42981717115,0,0.424346620797,0.0875050874461,4.84939371164,1,0.315313641194,0.0639611117761,4.92977111307,1,-0.0524366949598,0.242668818071,-0.216083365702,0,0.17054031941,0.0695121988262,2.45338692043,1,-0.314572806243,4.5846004239,108.044378734,0.00201339396816,15.7164206847,-1.29569901733,1.01764019564,-0.413572966542,-0.526525582961,0.041992706462,0.000501894593956,0.440429995442,1.90562596205
147,0.0596800624548,0.000145588222121,-0.728145772785,-1.28241196928,-1.31002267993,0.182212804719,0.438835865462,-0.0544870184117,0.0682596948989,-0.798231203529,0,0.198919013963,0.0874112393491,2.27566861475,0,0.297003264344,0.064501267368,4.60461129624,1,-0.0977588744699,0.183796806325,-0.531885599235,0,0.193311945032,0.0710870271122,2.71937022668,1,-0.631644859141,2.60307689933,209.438695931,0.000943809431344,14.803762468,-2.41559994738,1.15352197206,-0.0965009136437,-0.124228071061,0.0630274855955,4.28756903734e-05,0.40934243406,1.61004429622
